entry,phon,gloss,definition,part_of_speech,notes,etymology,morph_category,morph_type
acaro,atʃaro,east,east,noun,NA,NA,lexical,root
agit,agit,candle,candle,noun,NA,NA,lexical,root
amua,amwa,liver,liver,noun,NA,NA,lexical,root
an,an,not,not,adverb,NA,NA,grammatical,root
ank-,aŋk,stand,stand,verb,NA,NA,lexical,bound root
apren-,apren,fly,fly,verb,NA,NA,lexical,bound root
ari,ari,back,person's back,noun,NA,NA,lexical,root
ash-,aʃ,be,be,verb,NA,NA,lexical,bound root
aum-,aum,be.PRED,be.PRED,verb,NA,NA,lexical,bound root
baha,baha,death,death,noun,NA,NA,lexical,root
bahu-,bahw,die,die,verb,NA,NA,lexical,bound root
bain,bain,fingernail,fingernail,noun,NA,NA,lexical,root
blin,blin,strong,strong,adjective,NA,NA,lexical,root
boirmen-,boirmen,jump,jump,verb,NA,NA,lexical,bound root
bok-,bok,reach,reach,verb,NA,NA,lexical,bound root
bone,bone,donkey,donkey,noun,NA,NA,lexical,root
brah,brah,SUI,SUI,noun,NA,NA,lexical,root
cajak-,tʃadʒak,change,change,verb,NA,NA,lexical,bound root
caria,tʃarja,air,air,noun,NA,NA,lexical,root
cask,tʃask,mouth,mouth,noun,NA,NA,lexical,root
caska,tʃaska,sky,sky,noun,NA,NA,lexical,root
catie,tʃatje,person,person,noun,NA,NA,lexical,root
cetar-,tʃetar,suck,suck,verb,NA,NA,lexical,bound root
colok,tʃolok,bowl,bowl,noun,NA,NA,lexical,root
cu,tʃu,sweet,sweet,adjective,NA,NA,lexical,root
daint,daint,river,river,noun,NA,NA,lexical,root
darui,darwi,fog,fog,noun,NA,NA,lexical,root
delv-,delv,stab,stab,verb,NA,NA,lexical,bound root
desrin,desrin,mountain,mountain,noun,NA,NA,lexical,root
diene,djene,stick,stick,noun,NA,NA,lexical,root
dlub,dlub,wing,wing,noun,NA,NA,lexical,root
dlunt-,dlunt,come,come,verb,NA,NA,lexical,bound root
doh,doh,teacher,teacher,noun,NA,NA,lexical,root
dok,dok,below,below,adverb,NA,NA,grammatical,root
dolen,dolen,water.spring,water.spring,noun,NA,NA,lexical,root
dolnen,dolnen,foot,foot,noun,NA,NA,lexical,root
donegan-,donegan,save,save,verb,NA,NA,lexical,bound root
dost-,dost,fall,fall,verb,NA,NA,lexical,bound root
dundi,dundi,wind,wind,noun,NA,NA,lexical,root
duio,dujo,beautiful,beautiful,adjective,NA,NA,lexical,root
e,e,oh,oh,exclamation,NA,NA,grammatical,root
edor-,edor,sit,sit,verb,NA,NA,lexical,bound root
emsh-,emʃ,eat,eat,verb,NA,NA,lexical,bound root
fargat,fargat,grass,grass,noun,NA,NA,lexical,root
feirn-,feinr,hunt,hunt,verb,NA,NA,lexical,bound root
ferf-,ferf,smell,smell,verb,NA,NA,lexical,bound root
ferto,ferto,day,day,noun,NA,NA,lexical,root
fest-,fest,spit,spit,verb,NA,NA,lexical,bound root
finia,finja,girl,girl,noun,NA,NA,lexical,root
firgo,firgo,world,world,noun,NA,NA,lexical,root
firkin-,firkin,speak,speak,verb,NA,NA,lexical,bound root
fladri,fladri,forest,forest,noun,NA,NA,lexical,root
foinin-,foinin,love,love,verb,NA,NA,lexical,bound root
foirte,foirte,crack,crack,noun,NA,NA,lexical,root
foie,foje,always,always,adverb,NA,NA,grammatical,root
fuanen,fwanen,love,love,noun,NA,NA,lexical,root
fura,fura,everything,everything,pronoun,NA,NA,grammatical,root
gagr-,gagr,breathe,breathe,verb,NA,NA,lexical,bound root
gamne-,gamne,vomit,vomit,verb,NA,NA,lexical,bound root
gana,gana,hand,hand,noun,NA,NA,lexical,root
gehot-,gehot,think,think,verb,NA,NA,lexical,bound root
gohil,gohil,root,root,noun,NA,NA,lexical,root
gondo,gondo,heart,heart,noun,NA,NA,lexical,root
gonji,goɲdʒi,so.much,so.much,adverb,NA,NA,grammatical,root
gorak,gorak,money,money,noun,NA,NA,lexical,root
graki-,grakj,count,count,verb,NA,NA,lexical,bound root
greble,greble,sand,sand,noun,NA,NA,lexical,root
grebosh,greboʃ,bark,bark,noun,NA,NA,lexical,root
gung-,guŋg,hit,hit,verb,NA,NA,lexical,bound root
gutu,gutu,wizard,wizard,noun,NA,NA,lexical,root
hamenu,hamenu,ice,ice,noun,NA,NA,lexical,root
hamni,hamni,freeze,freeze,noun,NA,NA,lexical,root
hankia,haŋkja,salt,salt,noun,NA,NA,lexical,root
hil-,hil,have,have,verb,NA,NA,lexical,bound root
himin,himin,hour,hour,noun,NA,NA,lexical,root
hin,hin,now,now,adverb,NA,NA,grammatical,root
hitar-,hitar,dance,dance,noun,NA,NA,lexical,root
hoc,hotʃ,belly,belly,noun,NA,NA,lexical,root
huibr-,hwibr,float,float,verb,NA,NA,lexical,bound root
hurnen,hurnen,sun,sun,noun,NA,NA,lexical,root
i,i,and,and,conjunction,NA,NA,grammatical,root
ia,ja,eye,eye,noun,NA,NA,lexical,root
iega,jega,knee,knee,noun,NA,NA,lexical,root
iesh-,jeʃ,walk,walk,verb,NA,NA,lexical,bound root
jaka,dʒaka,lake,lake,noun,NA,NA,lexical,root
jap,dʒap,ashes,ashes,noun,NA,NA,lexical,root
jarti,dʒarti,tree,tree,noun,NA,NA,lexical,root
jaruabl-,dʒarwabl,dig,dig,verb,NA,NA,lexical,bound root
jeki,dʒeki,monkey,monkey,noun,NA,NA,lexical,root
kabas-,kabas,know,know,verb,NA,NA,lexical,bound root
kaigoin,kaigoin,number,number,noun,NA,NA,lexical,root
kanen-,kanen,can,can,verb,NA,NA,lexical,bound root
kariof,karjof,thing,thing,noun,NA,NA,lexical,root
kentoria,kentorja,catastrophe,catastrophe,noun,NA,NA,lexical,root
ki,ki,CONJ,CONJ,conjunction,NA,NA,grammatical,root
klak,klak,island,island,noun,NA,NA,lexical,root
koirme,koirme,time,time,noun,NA,NA,lexical,root
kolin,kolin,sadness,sadness,noun,NA,NA,lexical,root
korash-,koraʃ,be.happy,be.happy,verb,NA,NA,lexical,bound root
kshanla,kʃanla,stone,stone,noun,NA,NA,lexical,root
